,ID,Recency,Frequency,Wines,Fruits,Meat,Fish,Sweets,Gold
0,5524,58,32,635,88,546,172,88,88
1,2174,38,11,11,1,6,2,1,6
2,4141,26,25,426,49,127,111,21,42
3,6182,26,14,11,4,20,10,3,5
4,5324,94,24,173,43,118,46,27,15
5,7446,16,28,520,42,98,0,42,14
6,965,34,27,235,65,164,50,49,27
7,6177,32,18,76,10,56,3,1,23
8,4855,19,15,14,0,24,3,3,2
9,5899,68,22,28,0,6,1,1,13
11,387,59,14,6,16,11,11,1,16
12,2125,82,18,194,61,480,225,112,30
13,8180,53,21,233,2,53,3,5,14
14,2569,38,13,3,14,17,6,1,5
15,2114,23,29,1006,22,115,59,68,45
16,9736,51,17,53,5,19,2,13,4
17,4939,20,20,84,5,38,150,12,28
18,6565,91,31,1012,80,498,0,16,176
19,2278,86,14,4,17,19,30,24,39
20,9360,41,20,86,2,73,69,38,48
21,5376,42,44,1,1,1725,1,1,1
22,1993,63,25,867,0,86,0,0,19
23,4047,0,24,384,0,102,21,32,5
24,1409,69,28,270,3,27,39,6,99
25,7892,89,15,6,4,25,15,12,13
26,2404,4,21,173,4,30,3,6,41
28,9422,26,12,36,2,42,20,21,10
29,1966,96,28,684,100,801,21,66,0
30,6864,34,13,8,4,10,2,2,4
31,3033,56,14,112,17,44,34,22,89
32,5710,31,14,110,0,5,2,0,3
33,7373,8,23,96,12,96,33,22,43
34,8755,4,25,482,34,471,119,68,22
35,10738,55,13,40,0,19,2,1,3
36,4339,37,30,702,17,151,0,8,35
37,10755,76,16,6,3,14,15,7,36
38,8595,99,12,55,0,6,2,0,4
39,2968,53,30,437,8,206,160,49,42
40,8601,3,25,421,76,536,82,178,102
41,503,88,15,13,1,29,3,0,7
42,8430,4,9,9,0,6,3,1,3
44,2139,19,13,3,1,10,3,2,12
45,1371,72,17,123,164,266,227,30,174
46,9909,24,19,3,18,14,15,22,50
47,7286,92,15,13,6,15,3,5,13
49,6566,39,36,826,50,317,50,38,38
50,8614,29,19,245,19,125,37,67,14
51,4114,2,32,650,37,780,27,167,32
52,1331,54,14,12,6,20,30,1,3
53,2225,54,22,510,120,550,156,40,241
54,9381,57,26,328,9,124,12,24,109
55,6260,55,28,984,51,432,180,120,190
56,10383,30,24,295,35,482,121,120,40
57,7437,31,9,13,0,8,2,1,5
59,8375,63,26,447,0,28,0,0,43
60,6853,12,22,712,26,538,69,13,80
61,3076,18,25,452,18,102,16,18,6
62,1012,26,31,523,7,134,37,14,169
63,6518,8,24,546,0,48,0,6,6
64,4137,29,20,398,40,367,119,122,30
65,8082,75,12,1,3,6,3,6,15
66,1386,0,11,10,0,1,0,0,0
67,9369,19,37,688,14,309,201,24,38
68,4477,4,22,247,49,159,7,82,109
69,1357,90,24,856,59,487,58,29,73
70,1402,1,24,496,36,460,189,60,12
72,6312,29,37,258,107,291,84,37,86
73,8132,88,31,565,6,65,0,6,19
74,1050,58,10,14,10,13,4,15,9
75,5846,68,10,2,1,6,2,1,1
76,1859,34,24,721,111,925,97,18,18
77,7503,40,26,1032,105,779,137,105,51
78,10401,12,7,1,0,5,0,3,9
79,1618,9,29,577,0,64,0,0,51
80,3332,87,20,64,4,68,7,5,17
81,2261,5,11,4,1,5,2,0,4
82,5346,87,16,25,5,19,7,0,23
83,4119,56,14,112,17,44,34,22,89
84,535,18,28,163,23,424,27,65,76
85,5268,95,14,17,8,14,10,4,3
86,273,48,20,130,0,16,0,0,5
87,4452,3,24,292,6,37,0,3,34
88,8504,70,21,350,60,568,110,133,145
89,771,79,12,135,9,39,4,0,7
93,11178,69,12,15,2,10,0,1,4
94,2230,84,15,27,2,14,0,0,0
95,7516,30,12,5,3,11,12,5,9
96,7247,72,28,505,0,26,0,0,75
97,11100,37,14,51,2,7,0,1,2
98,4646,44,27,207,26,447,75,0,223
99,3037,32,21,135,46,92,65,61,11
100,1473,0,15,53,1,5,2,1,10
101,1016,43,13,41,1,6,2,0,5
102,4518,59,32,386,172,183,185,132,111
103,9370,68,20,562,81,276,80,40,81
104,8908,35,21,217,76,690,50,26,38
105,8373,94,10,1,3,6,10,0,9
106,7533,15,20,144,1,32,2,1,7
107,2683,56,32,295,106,271,75,98,65
108,3629,17,16,76,3,31,4,4,27
109,10991,18,16,454,194,106,31,22,43
110,5077,46,27,425,115,292,23,35,79
111,7431,40,26,1332,17,311,23,51,86
112,3267,27,26,527,0,21,0,0,60
113,999,95,28,490,44,125,29,20,22
114,9215,19,28,378,0,101,0,0,72
115,2286,27,14,64,1,21,0,1,27
116,1592,25,16,547,99,812,151,82,33
117,367,74,29,47,90,94,123,103,120
118,5234,85,12,12,5,25,0,9,30
119,9862,37,13,1,6,7,11,5,3
120,9805,65,26,320,48,133,39,72,48
121,6205,13,14,34,3,29,0,4,10
122,8442,63,13,9,0,7,3,4,7
123,7386,83,12,17,0,14,7,3,2
124,7215,69,29,722,27,102,44,72,168
125,1491,87,17,162,33,124,40,28,172
126,11071,37,17,450,133,951,173,0,216
127,3381,51,14,70,0,16,0,0,4
129,11051,72,27,492,19,110,16,12,12
130,8026,10,24,120,58,73,65,89,58
131,433,42,31,534,5,47,0,5,41
132,9597,10,23,236,106,189,23,41,130
134,5290,51,24,220,0,33,3,0,23
135,1685,21,26,796,14,590,38,44,0
136,5342,31,14,0,1,3,10,6,9
137,9579,61,17,53,1,34,2,0,16
138,7660,37,11,15,0,8,4,2,20
139,1461,74,14,17,1,12,3,1,4
140,821,46,24,962,61,921,52,61,20
141,11084,4,24,738,0,232,13,20,50
142,8690,73,25,399,28,756,36,40,126
143,2937,47,31,614,16,132,43,33,33
144,9701,13,19,32,34,41,73,16,116
145,9949,36,23,598,16,141,32,41,49
146,10837,47,12,2,1,18,20,11,16
147,3120,49,12,6,1,10,0,1,4
148,5885,94,24,73,3,90,12,1,32
149,4050,65,11,42,16,29,12,20,8
150,3830,59,19,295,21,78,39,13,13
151,7987,96,25,346,17,48,23,13,13
152,7798,28,24,233,20,57,8,20,91
153,92,12,17,5,7,24,19,14,20
154,7055,57,31,888,0,57,0,0,76
155,10240,10,25,997,26,269,34,13,42
156,3025,4,22,212,6,69,4,12,3
157,9283,49,8,8,1,7,2,0,0
158,9970,3,11,42,11,57,10,28,14
159,2730,64,19,536,11,387,149,91,57
160,2795,0,11,5,0,3,0,0,5
161,9260,20,33,1349,16,249,43,16,33
162,8182,91,19,53,3,49,7,4,5
163,10095,9,22,1001,12,240,16,12,12
164,8475,98,37,20,2,1582,1,2,1
165,4370,83,15,18,1,32,6,3,28
166,10573,27,21,125,16,98,134,21,27
167,3712,63,16,212,5,33,7,0,2
168,6637,46,16,277,162,305,173,76,124
169,3152,84,14,15,10,19,8,17,20
170,5610,58,13,7,3,10,8,1,7
171,6460,78,15,12,4,6,11,8,16
172,1349,4,14,85,7,24,2,3,27
173,1880,17,13,81,0,6,0,0,6
174,641,77,11,59,0,12,0,0,48
175,8717,56,33,1149,71,449,69,71,26
176,10314,79,29,847,66,119,86,89,111
177,10854,90,14,29,0,14,0,0,2
178,10492,96,6,2,0,5,2,0,1
179,6935,44,27,207,26,447,75,0,223
180,7698,81,15,152,3,22,2,5,7
181,3559,77,15,12,11,10,3,12,9
182,10562,21,26,620,26,195,34,17,141
183,10796,16,12,47,1,6,0,0,12
184,2563,80,12,1,9,7,2,14,10
185,3518,45,14,10,1,18,10,4,7
186,5823,63,12,35,0,2,0,0,2
187,3934,34,23,356,0,107,19,9,117
188,6982,14,26,783,30,537,140,76,15
189,6431,13,14,42,1,18,3,0,4
190,9733,52,11,1,4,10,29,0,36
191,5602,98,31,466,22,432,147,113,102
193,1324,93,16,23,3,21,3,19,22
194,326,38,22,235,6,45,8,9,12
195,7224,24,14,10,0,10,3,1,7
196,6999,80,26,656,16,106,32,16,8
197,9938,82,19,519,17,813,27,173,51
198,6422,20,19,344,189,482,50,33,172
199,3182,81,23,96,1,79,7,1,79
200,7300,50,24,448,4,34,6,4,39
201,10424,60,19,265,138,553,224,23,92
202,8727,63,35,587,43,337,42,87,54
203,2798,54,30,763,29,138,76,176,58
204,1030,72,13,22,0,13,0,0,3
205,624,5,10,6,4,1,7,2,15
206,5176,88,14,7,6,13,7,6,14
207,5552,50,23,81,18,113,47,13,21
208,868,99,12,54,0,7,0,0,4
209,380,17,37,1170,48,320,42,32,192
210,2677,11,19,72,24,68,65,4,8
211,6521,18,21,613,22,319,33,102,12
212,6927,70,27,224,0,30,0,0,10
213,2877,21,33,410,0,59,19,9,44
214,0,66,18,239,10,554,254,87,54
215,1584,79,28,171,7,171,25,19,89
216,7264,2,12,12,0,4,0,0,1
217,6274,81,28,1076,16,417,42,48,16
218,1377,24,19,182,4,33,0,0,66
219,454,48,34,824,32,162,42,32,43
220,1755,93,10,30,11,25,29,1,18
221,2075,56,17,377,10,540,80,30,10
222,4785,3,25,520,7,154,19,0,14
223,9076,44,21,155,1,25,0,1,3
224,7079,38,38,897,23,207,15,11,92
225,4653,46,20,131,0,16,2,1,39
226,7375,84,24,297,7,79,0,11,182
227,709,27,26,787,20,204,0,0,92
228,460,72,19,792,86,740,67,51,17
229,3726,66,12,4,1,9,3,0,0
230,6798,30,30,231,7,137,4,15,39
231,5341,2,21,983,76,184,180,138,27
232,1606,65,12,3,1,8,4,3,3
233,9617,37,8,0,4,5,6,0,4
234,3233,89,34,562,21,464,28,10,32
235,89,49,14,5,9,20,6,8,21
236,2936,46,12,18,0,4,0,0,1
237,9449,32,22,415,5,124,15,35,11
238,7297,54,18,5,3,10,12,7,20
240,313,98,25,901,61,757,186,163,20
241,9940,97,19,382,114,276,75,124,38
242,10735,75,14,14,1,7,2,1,1
243,9529,8,24,559,153,503,218,13,181
244,6439,37,38,789,0,133,0,28,152
245,7411,31,12,11,0,5,0,0,1
246,2176,40,22,1218,16,272,104,0,80
247,9265,74,26,925,64,179,133,12,77
248,8867,90,23,864,134,768,150,38,172
249,8932,57,31,960,28,183,220,70,70
250,10236,59,15,16,3,25,6,1,13
251,6340,52,12,3,3,7,0,2,11
252,10089,5,31,168,148,444,32,172,148
253,2227,92,17,45,47,52,21,20,25
254,10992,77,34,650,28,353,45,42,30
255,5304,35,12,24,0,8,0,0,1
256,309,48,25,918,21,118,13,10,21
257,3406,97,19,138,33,87,28,24,12
258,2661,95,15,12,4,2,10,6,10
259,3153,24,12,11,0,4,0,0,2
260,10264,60,13,1,2,8,4,3,13
261,1184,46,30,554,41,215,11,0,24
262,4200,85,20,167,2,62,24,13,7
263,9396,31,13,9,0,6,4,1,5
264,2387,9,25,177,2,71,3,2,20
265,6690,30,18,38,4,22,4,2,20
266,1225,47,20,483,84,398,205,84,241
267,9703,70,18,77,2,35,0,1,69
268,291,13,14,182,74,298,162,149,116
269,4557,11,14,10,7,19,8,2,21
270,2379,31,21,778,44,499,95,73,146
271,5726,15,15,16,7,23,0,8,6
272,3066,2,17,167,0,43,6,2,13
273,6336,55,16,13,2,14,8,7,4
274,10967,38,16,33,6,40,3,7,10
275,2304,86,27,625,7,99,10,22,7
276,3445,56,28,216,162,224,101,92,162
277,7828,29,13,68,129,396,188,22,15
278,3762,30,18,196,0,512,33,130,54
279,4391,64,28,635,15,100,20,7,131
280,4669,46,17,4,19,9,28,25,17
281,10144,84,24,297,7,79,0,11,182
282,8652,20,20,84,5,38,150,12,28
283,1672,74,17,204,7,149,20,15,66
284,8962,18,12,26,0,8,0,0,3
285,9974,75,14,15,6,20,4,5,20
286,10983,17,26,304,98,230,150,74,74
287,8148,88,38,285,28,242,55,114,135
288,10102,19,25,395,183,565,166,141,28
289,4697,62,24,248,3,81,4,3,51
290,9262,11,12,20,6,5,0,9,12
291,7254,74,17,39,0,56,20,8,14
292,4543,32,23,777,129,573,216,21,203
293,4927,76,18,8,3,22,21,1,13
294,10451,6,10,9,1,3,0,4,8
295,2926,62,31,1241,0,80,0,13,40
296,2874,20,12,6,4,7,4,3,8
297,9738,43,15,65,4,16,0,4,11
298,7119,45,13,395,15,263,60,54,38
299,3924,34,33,801,0,80,0,0,35
300,5827,53,16,36,0,12,2,2,10
301,5596,44,27,513,14,154,19,0,28
302,10812,89,11,37,0,46,4,3,0
303,1717,43,21,80,15,93,20,13,52
304,9491,68,17,14,1,21,2,3,25
305,9274,44,25,525,147,112,219,147,63
306,6609,64,16,1,26,25,17,23,15
307,6963,85,19,675,11,400,15,45,11
308,4440,93,25,509,0,27,0,0,10
309,1379,12,15,154,2,46,20,4,15
310,10032,86,17,3,5,14,2,12,17
311,2826,28,14,25,0,8,2,0,2
313,6320,42,26,768,44,561,77,44,14
314,3050,13,20,185,0,28,3,2,17
315,231,86,12,24,0,7,0,0,1
316,2392,59,15,44,4,21,6,0,27
317,9478,30,18,91,64,128,65,3,50
318,113,33,11,11,0,7,3,1,6
320,1802,23,23,412,5,119,38,29,77
321,520,81,11,3,3,7,6,2,9
322,8275,6,11,16,0,3,0,0,1
323,9750,41,30,731,60,353,78,12,73
324,2607,78,32,424,17,118,7,23,41
325,7214,49,21,792,0,275,45,45,126
326,5835,39,17,21,2,28,3,2,9
327,3896,3,12,22,1,11,0,1,2
328,10350,37,9,33,0,5,0,0,0
329,7786,22,20,68,7,59,10,5,11
330,2861,79,12,9,1,6,3,0,4
331,663,46,10,40,2,15,8,0,6
332,10675,82,24,909,11,218,0,0,23
333,2521,10,12,23,1,13,2,2,18
334,9592,51,15,11,2,9,3,0,8
335,10151,38,25,317,46,247,151,46,139
336,7381,10,26,797,153,293,72,97,30
337,4099,14,13,10,2,16,11,2,21
338,9560,18,25,856,61,570,40,25,122
340,10172,95,24,456,19,832,75,118,38
341,11191,11,14,37,32,38,11,3,18
342,9707,65,28,1103,0,45,0,0,34
343,6245,71,21,378,14,68,19,14,14
344,8234,13,12,1,6,7,0,1,3
345,1411,58,17,204,34,204,172,153,173
346,8553,65,12,30,0,9,0,0,3
347,1826,0,16,189,104,379,111,189,218
348,8842,33,15,15,0,12,7,3,7
349,11030,90,10,9,0,3,0,0,4
350,2579,95,30,495,33,255,11,33,8
351,175,93,26,656,80,455,52,107,93
352,9185,38,21,452,20,514,13,30,0
353,11056,18,19,546,91,410,119,0,22
354,9365,57,30,1048,0,217,0,0,12
355,6201,45,14,22,2,14,0,1,10
356,2061,61,13,78,0,11,0,0,10
357,6184,6,16,561,64,785,84,128,48
358,6142,65,16,629,17,177,69,0,8
359,4107,52,21,269,15,69,15,19,38
360,7274,87,24,736,163,818,212,163,61
361,9336,38,25,512,0,83,0,0,41
362,2958,53,14,19,3,10,11,8,6
363,933,31,13,9,0,6,4,1,5
364,5837,67,29,247,8,160,6,8,65
365,10704,65,23,404,0,92,28,27,142
366,5125,64,28,333,0,815,129,42,29
367,4432,82,14,2,3,20,6,11,9
368,5955,27,19,833,33,549,151,133,233
369,2928,63,24,789,0,142,12,9,38
370,5680,66,11,10,4,7,0,6,3
371,10313,69,24,159,4,45,6,2,38
372,2557,52,9,7,1,6,3,1,11
373,1245,45,31,977,12,253,16,12,101
374,1519,2,17,38,4,22,3,3,3
375,10703,86,19,57,0,27,0,0,36
376,1726,23,14,3,9,15,13,2,39
377,4459,13,13,10,4,14,4,4,1
378,1729,14,26,1043,24,97,32,24,157
379,1517,92,12,3,9,13,2,12,12
380,2098,38,12,11,0,5,0,0,1
381,9543,74,11,3,6,5,0,2,6
382,6878,14,21,43,12,96,78,40,55
383,3310,94,24,73,3,90,12,1,32
384,2724,33,7,12,0,1,0,0,6
385,948,32,13,4,7,7,6,4,13
386,6720,11,24,314,11,53,4,3,107
387,6202,78,28,571,50,142,33,50,159
388,2066,56,13,70,0,11,2,8,23
389,9799,57,24,866,21,151,28,21,86
390,8318,7,20,594,134,786,33,134,57
391,5642,0,16,140,4,61,0,13,4
392,2669,66,18,375,152,335,93,91,81
393,455,86,16,102,9,63,2,9,24
394,7683,80,26,554,35,113,0,7,78
395,3428,56,26,919,0,505,99,30,45
396,7414,18,20,96,1,42,12,3,32
397,6354,51,14,5,2,16,3,2,19
398,798,71,12,2,0,6,8,6,5
399,8213,71,18,6,4,9,6,36,35
400,2488,80,16,23,1,25,0,8,7
401,9999,2,28,610,105,125,137,42,21
402,7617,83,18,67,5,61,3,8,19
403,615,29,18,65,36,74,38,20,110
404,2552,11,31,416,0,26,0,0,4
405,194,55,11,23,0,11,3,2,2
406,3645,19,17,19,3,26,10,9,3
407,8890,1,20,155,7,80,13,7,10
408,5049,19,15,14,0,24,3,3,2
409,9973,28,26,370,9,92,6,9,4
410,7301,76,16,4,22,11,3,7,32
411,10882,50,21,407,53,221,58,150,26
412,7030,1,41,1200,0,204,38,29,14
413,7422,90,23,85,44,54,102,78,6
414,3523,83,22,583,34,309,0,22,125
415,7106,73,20,483,0,591,156,0,12
416,6504,24,14,2,5,9,28,6,28
417,5067,11,26,966,26,282,52,26,26
418,4216,33,29,822,114,108,179,137,114
419,8581,4,37,604,0,100,19,0,28
420,5929,14,14,19,3,19,3,1,3
421,3129,30,12,5,3,11,12,5,9
422,6528,75,12,2,2,2,2,1,1
423,1361,26,17,1076,68,103,29,91,68
424,6932,77,24,1285,42,716,55,0,21
425,7284,8,12,10,0,7,2,0,1
426,1340,42,28,551,137,792,179,103,33
427,8746,28,25,800,0,297,0,34,57
428,5987,52,12,2,2,11,10,6,12
429,3767,1,27,378,0,189,97,172,172
430,3725,1,20,1248,16,349,43,16,16
431,4324,42,29,235,0,235,19,4,191
432,238,76,46,515,47,181,149,95,95
433,6694,27,29,438,66,400,12,38,114
434,498,28,12,25,0,22,2,3,5
435,9347,49,10,31,0,7,2,0,6
436,9699,12,28,357,35,271,28,28,14
437,10664,14,25,400,4,35,6,0,22
438,5455,89,17,99,0,15,2,1,5
439,456,96,15,1,11,5,4,6,9
440,5012,56,13,5,4,13,8,0,4
441,7495,72,14,77,28,31,16,0,4
442,5029,14,9,3,1,2,4,3,1
443,10642,13,13,10,4,14,4,4,1
444,2106,99,13,0,6,3,7,6,12
445,10364,72,12,0,0,1,2,12,5
446,5954,92,19,76,14,74,13,5,10
447,1137,87,18,398,190,537,61,156,37
448,2541,7,15,14,7,11,11,0,5
449,1142,91,19,208,7,82,30,66,35
450,2276,71,30,430,16,322,43,24,33
451,2807,24,34,656,38,161,62,47,37
452,6471,17,12,14,2,30,8,2,3
453,6131,87,19,141,70,106,72,19,23
454,6233,21,34,507,19,364,25,47,9
455,4148,90,27,164,24,103,12,3,42
456,4947,44,28,606,24,974,197,194,64
457,3225,71,20,116,11,72,3,17,46
458,7540,52,15,143,15,60,24,23,5
459,10648,78,22,398,96,447,220,96,32
460,1992,2,23,522,0,257,32,16,66
461,7851,60,23,161,0,253,199,191,122
462,8594,25,15,112,0,6,2,1,14
463,7059,47,20,483,84,398,205,84,241
464,2815,46,16,7,5,39,17,15,37
465,2416,83,21,789,25,420,16,38,0
466,7999,17,19,1239,17,413,23,34,17
467,9213,13,12,4,1,5,2,0,3
468,9697,86,26,335,42,127,28,5,5
469,3916,92,32,639,8,166,11,8,58
470,2021,47,37,563,76,384,84,192,89
471,1581,18,12,2,0,8,2,2,3
472,564,81,36,746,8,125,11,8,8
473,6619,91,13,22,1,13,4,0,4
474,9081,58,10,4,1,6,4,1,9
475,178,40,31,478,0,193,110,75,117
476,916,67,9,20,3,4,2,0,2
477,5512,19,22,451,0,39,0,4,24
478,8970,93,24,371,22,39,6,0,92
479,10581,41,29,281,7,84,15,0,119
480,5300,60,13,19,7,19,0,1,24
481,5154,54,12,26,3,13,2,10,0
482,8346,26,21,138,15,35,25,11,72
483,1676,30,20,213,2,44,0,2,5
484,9286,93,22,407,28,100,120,74,18
485,2426,35,32,483,74,114,169,37,18
486,5172,4,24,738,0,232,13,20,50
487,5562,92,27,502,12,109,16,6,90
488,3436,24,12,11,0,5,2,1,1
489,3921,96,18,24,1,108,29,29,14
490,3403,11,27,1170,19,594,99,76,134
491,22,99,22,185,2,88,15,5,14
492,10965,72,28,983,20,389,240,50,40
493,9426,77,23,691,0,69,10,0,130
494,6605,85,27,504,13,131,8,0,26
495,3136,88,27,317,25,265,25,19,12
496,8737,22,9,29,1,9,2,0,2
497,11088,83,24,1396,0,322,46,35,17
498,716,63,30,529,0,356,63,28,0
499,466,9,23,388,14,218,91,14,21
500,9135,92,14,13,2,21,4,0,24
501,10623,2,10,28,0,4,0,0,0
502,8151,6,17,16,36,21,20,62,108
503,5140,66,29,1047,0,140,67,38,153
504,10160,49,10,31,0,7,2,0,6
505,4945,29,34,815,10,239,28,10,108
506,10584,77,27,225,162,387,106,36,29
507,6071,77,23,493,70,324,146,40,84
508,3386,71,15,34,4,66,3,10,20
509,8939,49,30,382,138,65,60,26,59
510,9925,97,19,127,1,56,0,1,31
511,4320,6,26,325,83,300,86,58,91
512,5389,93,23,238,17,68,8,10,6
513,6036,78,20,1168,92,408,72,129,55
514,182,62,25,284,0,55,0,6,52
515,203,47,24,1288,20,613,80,61,27
516,11025,9,19,65,0,46,4,3,20
517,10203,77,12,11,7,9,3,1,11
518,4607,24,19,227,23,389,42,21,75
519,3711,19,23,1035,134,670,25,38,0
520,3696,67,14,27,1,12,2,0,10
521,2532,95,18,982,73,351,56,14,175
522,9214,48,18,179,2,64,38,17,58
523,4943,73,22,1379,33,216,0,33,66
524,35,35,16,32,1,64,16,12,85
525,2258,76,13,8,4,15,7,6,2
526,4322,20,22,881,38,319,16,25,12
527,713,72,18,141,15,153,67,31,35
528,4702,20,25,1000,155,379,224,17,120
529,3281,69,25,206,10,67,30,27,71
530,702,80,24,162,61,83,97,57,61
531,2004,65,18,619,54,260,127,54,54
532,4769,52,30,456,4,24,0,0,9
533,4437,65,16,112,6,92,3,9,38
534,8724,57,13,11,3,22,2,2,6
535,10741,70,23,172,12,112,8,0,15
536,1991,0,12,78,0,11,0,0,7
537,6931,19,20,464,151,292,65,60,30
538,11096,50,14,99,4,32,37,54,6
539,304,67,16,19,3,19,4,5,26
540,3665,46,17,1,9,8,11,3,22
541,10591,37,18,63,10,83,7,19,19
542,5036,38,20,252,3,42,4,3,102
543,5547,9,23,1478,19,403,0,19,0
544,7822,56,23,198,18,252,32,108,54
545,8541,98,13,8,4,10,6,7,6
546,10955,68,15,416,46,925,60,107,46
547,4368,72,14,42,7,43,20,12,10
548,9671,47,18,14,3,21,2,1,28
549,2256,33,12,17,0,3,0,0,1
550,4279,87,10,15,4,10,3,4,18
551,5371,0,15,6,16,24,11,0,34
552,9240,73,24,458,0,24,6,4,34
553,9460,74,16,30,3,47,19,21,42
554,9504,4,26,179,28,520,111,123,47
555,8692,50,24,90,17,97,15,6,15
556,448,57,26,308,85,137,102,45,118
557,8314,30,21,557,129,761,29,185,111
558,8420,27,13,7,4,13,15,8,17
559,3174,61,26,1492,38,287,50,57,33
560,7685,4,12,30,8,12,8,8,12
561,3179,75,21,249,153,940,58,134,38
562,9780,12,30,465,25,132,136,0,37
563,10681,13,30,129,129,259,168,121,83
564,10232,9,18,174,18,81,28,6,24
565,4184,48,16,189,2,29,3,2,40
566,9120,80,27,747,10,161,65,40,42
567,891,60,9,6,0,2,2,0,1
568,10381,43,10,14,0,3,0,0,4
569,3525,19,11,12,0,4,0,0,1
570,6818,26,22,98,0,106,49,10,106
571,3526,58,13,32,0,5,0,0,1
572,8181,42,19,51,12,49,17,24,24
573,1029,27,17,200,5,44,0,10,20
574,7369,56,15,25,6,25,6,0,0
575,2574,27,26,1050,12,144,0,0,24
576,8159,10,18,117,0,22,13,0,30
577,1160,48,18,9,4,17,10,2,7
578,10242,39,13,56,0,11,0,0,8
579,5253,85,23,145,13,46,17,2,4
580,5966,64,21,203,0,10,0,0,2
